sample_idx,orient_idx,setpoint,wall_r,roof_r,fr1_kh,fr2_kwh,fr1_SPACE1-1_kh,fr1_SPACE2-1_kh,fr1_SPACE3-1_kh,fr1_SPACE4-1_kh,fr1_SPACE5-1_kh
74,0,24.601510781794786,1.8029237296432257,3.7835638374090195,2032.1099292507174,62313.94,152.33898722864683,822.5010288150256,173.7113873294022,883.5585258776428,0.0
75,0,25.92513468209654,1.8090007733553648,3.7835638374090195,969.1665399885287,61736.16,13.434652785249035,409.45261001285786,19.65619745377609,526.6230797366458,0.0
76,0,25.92513468209654,1.8029237296432257,2.667857814580202,1060.180414331506,62791.72,24.292953903113826,431.89493032214483,32.55466940183795,571.4378607044093,0.0
77,2,24.601510781794786,1.8090007733553648,2.667857814580202,3045.1533239018872,63719.5,150.76590635701191,1017.3710238211019,960.5978488086506,915.9994098322816,0.41913508284141
78,2,23.107192932628095,0.728710537776351,1.3607803471386433,7993.325664073484,71711.17,884.8533406318946,2162.3950990382664,2399.6797011978338,2113.651581413658,432.7459417918314
79,0,23.107192932628095,0.728710537776351,1.3607803471386433,6558.700172153452,71069.5,1083.2854565593755,2023.2341313728998,1046.2754571644753,2060.7389355721543,345.16619148454606
80,2,23.54422358982265,0.728710537776351,1.3607803471386433,6676.137787240475,71333.39,685.6887962667267,1903.619878988141,1996.8044974673587,1833.2426049941917,256.78200952405655
81,2,23.107192932628095,0.6372483540326357,1.3607803471386433,8147.012212570249,72341.72,904.5570645376464,2205.637548621847,2437.724936847463,2158.391760696898,440.7009018663946
82,2,23.107192932628095,0.728710537776351,1.9090813975781202,7642.320976363916,69630.61,811.1542735036078,2073.3876975653548,2355.020747162196,2035.412193542662,367.3460645900958
83,0,23.54422358982265,0.6372483540326357,1.9090813975781202,5184.0399148363485,69341.72,795.6706109139645,1719.1186084600904,770.5084093270845,1762.8724377291974,135.869848406011
84,3,24.944420567713678,2.186344539746642,2.681663189083338,1920.8635058568993,63297.27,170.7600740657823,156.37055358449126,834.8213700868752,758.9115081197506,0.0
85,1,24.944420567713678,2.186344539746642,2.681663189083338,1976.6516482618922,63325.05,298.05837998499584,782.2758334597302,739.892636839173,156.4247979779933,0.0
86,3,23.760665982961655,2.186344539746642,2.681663189083338,3876.2448558753413,64047.27,551.7750790183914,502.0440999092581,1285.19047356582,1475.005461802603,62.22974157926903
87,3,24.944420567713678,2.281330555677414,2.681663189083338,1899.0614113261108,63197.27,166.71435980181087,153.19123188008533,828.3409599887673,750.8148596554473,0.0
88,3,24.944420567713678,2.186344539746642,1.3976398054510355,2355.4833600318016,66400.05,248.73670829729795,253.00070736046064,964.1218369495159,881.4849879565561,8.139119467970758
89,1,23.760665982961655,2.281330555677414,1.3976398054510355,4490.94993885565,67066.72,779.2998306999582,1588.4971738652,1358.443500922284,637.3224797485028,127.38695361970404
90,1,24.00001396331936,1.3465104307979345,2.4625897109508514,3871.8893786060808,65688.94,657.8341777319692,1442.6334884915636,1245.595064490726,499.0029559815799,26.82369191024243
91,3,24.00001396331936,1.3465104307979345,2.4625897109508514,3802.5530660455197,65619.5,548.902328883146,491.7225568649342,1296.8077884742913,1416.4392621246093,48.681129698539266
92,1,25.697519617155194,1.3465104307979345,2.4625897109508514,1501.3649331784245,64775.05,220.73037812563288,610.176577557803,588.0317325480132,82.42624494697532,0.0
93,1,24.00001396331936,1.1415614150464535,2.4625897109508514,4016.285664330858,66291.72,689.4241490828989,1486.6005557749727,1286.3955883929075,523.5765490137219,30.288822066356538
94,1,24.00001396331936,1.3465104307979345,3.650604300200939,3631.1676901233686,64263.94,593.5977974112475,1398.2209101756584,1191.8741192495054,439.4453127510584,8.029550535899132
95,3,25.697519617155194,1.1415614150464535,3.650604300200939,1411.264062109526,63780.61,83.08515343508353,67.36043075171,688.3559529885628,572.4625249341697,0.0
96,1,25.012104405090213,1.7040850017219782,3.328759997151792,1941.1445300422731,63233.38,287.2030828001865,775.0976731775258,737.8933988549687,140.9503752095919,0.0
97,1,25.012104405090213,1.7040850017219782,3.328759997151792,1941.1445300422731,63233.38,287.2030828001865,775.0976731775258,737.8933988549687,140.9503752095919,0.0
98,1,23.446232964284718,1.7040850017219782,3.328759997151792,4768.669355832599,64150.05,781.1139794969101,1815.8823495636032,1431.487580349203,644.0443633443019,96.14108307858072
99,1,25.012104405090213,0.6166191324591637,3.328759997151792,2713.7014890533565,67083.39,444.32705396592837,1045.4951212902724,969.2388171446676,254.64049665248808,0.0
100,1,25.012104405090213,1.7040850017219782,1.4793648198246956,2397.8364121597688,66769.5,399.43817661978807,908.6390697915693,842.3438562500951,246.93033871776498,0.4849707805509711
101,1,23.446232964284718,0.6166191324591637,1.4793648198246956,6458.377671438726,72180.61,1168.4184381875891,2192.7213589894495,1855.4508776579091,974.1405532031788,267.64644340059954
102,3,24.066874016076326,0.762668902054429,1.6323642833158374,4551.604946704019,69916.72,707.1274640095071,634.4434129508455,1501.9326236619477,1604.303073457213,103.79837262450573
103,2,24.066874016076326,0.762668902054429,1.6323642833158374,5161.1761605189595,69577.83,449.8789952512795,1574.479374204023,1562.4487811527756,1483.699683812722,90.6693260981589
104,3,24.509392025880516,0.762668902054429,1.6323642833158374,3690.7321261296347,69586.17,531.1860453105528,475.37515375499197,1308.7118359271153,1333.844689121559,41.614402015415436
